h_deg,v_deg,flux_lm,solid_angle_sr,intensity_cd
5.5,-17.5,0.0019836,0.000290515109,6.82787207
6.5,-17.5,0.0024795,0.000290515109,8.53484008
7.5,-17.5,0.0028101,0.000290515109,9.67281876
8.5,-17.5,0.0023142,0.000290515109,7.96585074
9.5,-17.5,0.0029754,0.000290515109,10.2418081
10.5,-17.5,0.0034713,0.000290515109,11.9487761
11.5,-17.5,0.0021489,0.000290515109,7.3968614
12.5,-17.5,0.0034713,0.000290515109,11.9487761
13.5,-17.5,0.0029754,0.000290515109,10.2418081
14.5,-17.5,0.0026448,0.000290515109,9.10382942
15.5,-17.5,0.0021489,0.000290515109,7.3968614
16.5,-17.5,0.0026448,0.000290515109,9.10382942
17.5,-17.5,0.0021489,0.000290515109,7.3968614
18.5,-17.5,0.0028101,0.000290515109,9.67281876
19.5,-17.5,0.0028101,0.000290515109,9.67281876
20.5,-17.5,0.003306,0.000290515109,11.3797868
21.5,-17.5,0.0018183,0.000290515109,6.25888273
22.5,-17.5,0.003306,0.000290515109,11.3797868
23.5,-17.5,0.0029754,0.000290515109,10.2418081
24.5,-17.5,0.0021489,0.000290515109,7.3968614
25.5,-17.5,0.0021489,0.000290515109,7.3968614
26.5,-17.5,0.0024795,0.000290515109,8.53484008
27.5,-17.5,0.0031407,0.000290515109,10.8107974
28.5,-17.5,0.0021489,0.000290515109,7.3968614
29.5,-17.5,0.0024795,0.000290515109,8.53484008
-29.5,-16.5,0.0024795,0.000292069487,8.48941815
-28.5,-16.5,0.003306,0.000292069487,11.3192242
-27.5,-16.5,0.0014877,0.000292069487,5.09365089
-26.5,-16.5,0.0023142,0.000292069487,7.92345694
-25.5,-16.5,0.0024795,0.000292069487,8.48941815
-24.5,-16.5,0.0023142,0.000292069487,7.92345694
-23.5,-16.5,0.0026448,0.000292069487,9.05537936
-22.5,-16.5,0.0034713,0.000292069487,11.8851854
-21.5,-16.5,0.003306,0.000292069487,11.3192242
-20.5,-16.5,0.0021489,0.000292069487,7.35749573
-19.5,-16.5,0.0031407,0.000292069487,10.753263
-18.5,-16.5,0.0023142,0.000292069487,7.92345694
-17.5,-16.5,0.0028101,0.000292069487,9.62134057
-16.5,-16.5,0.0014877,0.000292069487,5.09365089
-15.5,-16.5,0.0021489,0.000292069487,7.35749573
-14.5,-16.5,0.003306,0.000292069487,11.3192242
-13.5,-16.5,0.0031407,0.000292069487,10.753263
-12.5,-16.5,0.0021489,0.000292069487,7.35749573
-11.5,-16.5,0.0023142,0.000292069487,7.92345694
-10.5,-16.5,0.0029754,0.000292069487,10.1873018
-9.5,-16.5,0.0029754,0.000292069487,10.1873018
-8.5,-16.5,0.0024795,0.000292069487,8.48941815
-7.5,-16.5,0.0029754,0.000292069487,10.1873018
-6.5,-16.5,0.0019836,0.000292069487,6.79153452
-5.5,-16.5,0.003306,0.000292069487,11.3192242
-4.5,-16.5,0.0018183,0.000292069487,6.22557331
-3.5,-16.5,0.0031407,0.000292069487,10.753263
-2.5,-16.5,0.0026448,0.000292069487,9.05537936
-1.5,-16.5,0.0018183,0.000292069487,6.22557331
-0.5,-16.5,0.0028101,0.000292069487,9.62134057
0.5,-16.5,0.0029754,0.000292069487,10.1873018
1.5,-16.5,0.0026448,0.000292069487,9.05537936
2.5,-16.5,0.0028101,0.000292069487,9.62134057
3.5,-16.5,0.0031407,0.000292069487,10.753263
4.5,-16.5,0.0031407,0.000292069487,10.753263
5.5,-16.5,0.0021489,0.000292069487,7.35749573
6.5,-16.5,0.003306,0.000292069487,11.3192242
7.5,-16.5,0.0041325,0.000292069487,14.1490302
8.5,-16.5,0.0028101,0.000292069487,9.62134057
9.5,-16.5,0.0031407,0.000292069487,10.753263
10.5,-16.5,0.0044631,0.000292069487,15.2809527
