lens_id,diffuser_id,rows,cols,spacing_x_mm,spacing_y_mm,lens_position_mm,current_per_led_ma,total_current_ma,power_w,source_flux_lm,exit_flux_lm,i00_cd,imax_cd,apparent_area_cm2,passed,note
ledil_c16369_hb_sq_w_xhp70p2,plane_diffuser,2,4,28.0,28.0,,30.920097626613043,247.36078101290434,2.968329372154852,402.8447005067299,249.46469339701065,410.93686494008097,468.579944954224,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,plane_diffuser,3,3,28.0,28.0,,28.003593706628482,252.03234335965635,3.024388120315876,410.45267347144033,254.19620434958597,408.82932321862506,490.6069440255873,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,plane_diffuser,1,1,28.0,28.0,,254.93055998107437,254.93055998107437,3.0591667197728927,415.1726262548926,256.9788331669241,400.0,487.947567714728,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,plane_diffuser,1,3,28.0,28.0,,86.15478767097908,258.4643630129372,3.1015723561552466,420.92767690678346,260.6674697234841,438.341705921236,516.6910206521834,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,plane_diffuser,3,1,28.0,28.0,,86.15478767097908,258.4643630129372,3.1015723561552466,420.92767690678346,260.6674697234841,438.341705921236,516.6910206521834,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,plane_diffuser,3,4,28.0,28.0,,21.798494125806855,261.58192950968225,3.138983154116187,426.00485663005395,263.74651279918527,435.70697239659,518.9754902791996,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,plane_diffuser,1,2,28.0,28.0,,135.39781511158412,270.79563022316825,3.249547562678019,441.0100263634455,273.1682673393116,400.0,588.8151338556258,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,plane_diffuser,2,1,28.0,28.0,,135.39781511158412,270.79563022316825,3.249547562678019,441.0100263634455,273.1682673393116,400.0,588.8151338556258,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,none,2,4,28.0,28.0,,50.36939922929912,402.95519383439296,4.835462326012715,656.2413156731542,539.394407314733,400.0,575.6633797086904,90.30959999999999,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,none,3,4,28.0,28.0,,34.1794060644145,410.152872772974,4.921834473275688,667.9632499445577,548.9332846676266,400.0,564.4844721838709,135.46439999999998,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,none,1,3,28.0,28.0,,136.89793214745106,410.6937964423532,4.928325557308238,668.8441827775465,549.7733344458056,426.7542670767134,548.2452382818958,33.866099999999996,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,none,3,1,28.0,28.0,,136.89793214745106,410.6937964423532,4.928325557308238,668.8441827775465,549.7733344458056,426.7542670767134,548.2452382818958,33.866099999999996,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,none,3,3,28.0,28.0,,47.52102280090105,427.68920520810946,5.132270462497314,696.5224199103496,572.5603189862591,424.5523937230749,576.1766705160595,101.5983,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,none,1,4,28.0,28.0,,116.56918108048207,466.27672432192827,5.595320691863139,759.3649510385688,624.5713832342315,411.42857145314105,671.6731679898652,45.154799999999994,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,none,2,2,28.0,28.0,,116.56918108048207,466.27672432192827,5.595320691863139,759.3649510385688,624.5713832342315,411.42857145314105,671.6731679898652,45.154799999999994,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,none,2,3,28.0,28.0,,80.8749580933958,485.2497485603748,5.822996982724498,790.2638762268962,649.6479369374224,400.0,645.1995940894177,67.73219999999999,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,none,3,2,28.0,28.0,,80.8749580933958,485.2497485603748,5.822996982724498,790.2638762268962,649.6479369374224,400.0,645.1995940894177,67.73219999999999,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,plane_diffuser,2,3,28.0,28.0,,99.40525273820116,596.4315164292069,7.157178197150483,971.331326756137,612.8353422788866,400.0,553.8498220053631,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,plane_diffuser,3,2,28.0,28.0,,99.40525273820116,596.4315164292069,7.157178197150483,971.331326756137,612.8353422788866,400.0,553.8498220053631,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,plane_diffuser,1,3,28.0,28.0,,198.81281634704055,596.4384490411217,7.15726138849346,971.3426170098267,612.7699703052173,400.0,616.7872979919797,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,plane_diffuser,3,1,28.0,28.0,,198.81281634704055,596.4384490411217,7.15726138849346,971.3426170098267,612.7699703052173,400.0,616.7872979919797,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,plane_diffuser,2,4,28.0,28.0,,75.2329116366904,601.8632930935232,7.222359517122278,980.1773630380236,618.3164878936021,411.8330048161672,579.9712222223093,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,plane_diffuser,1,4,28.0,28.0,,154.3177439755838,617.2709759023352,7.407251710828023,1005.2698750409459,634.6636983691822,400.0,557.4335584004862,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,plane_diffuser,2,2,28.0,28.0,,154.3177439755838,617.2709759023352,7.407251710828023,1005.2698750409459,634.6636983691822,400.0,557.4335584004862,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,plane_diffuser,3,4,28.0,28.0,,51.80231040820805,621.6277248984966,7.459532698781959,1012.3651519775516,638.4757024480631,400.00000000000006,608.5835252486004,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,plane_diffuser,1,1,28.0,28.0,,635.5433368395184,635.5433368395184,7.626520042074221,1035.027719995787,652.5673839692183,434.8803838305286,588.5674645538631,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,plane_diffuser,1,2,28.0,28.0,,320.59750975580545,641.1950195116109,7.6943402341393305,1044.2318889189091,658.9154589623068,438.74854811148873,595.4618525845876,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,plane_diffuser,2,1,28.0,28.0,,320.59750975580545,641.1950195116109,7.6943402341393305,1044.2318889189091,658.9154589623068,438.74854811148873,595.4618525845876,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,plane_diffuser,3,3,28.0,28.0,,74.86917390181056,673.822565116295,8.08587078139554,1097.368177475109,692.3153953917167,400.0,599.5480176830899,27.0,True,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,milky_acrylic_diffuser,3,3,28.0,28.0,,83.40588802848346,750.6529922563511,9.007835907076213,1222.4920159603435,471.71222349869197,400.0,551.726283981098,27.0,True,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,milky_acrylic_diffuser,1,4,28.0,28.0,,189.43913806535636,757.7565522614254,9.093078627137105,1234.06067082575,476.4588078254033,404.42677454965536,553.3234121677133,27.0,True,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,milky_acrylic_diffuser,2,2,28.0,28.0,,189.43913806535636,757.7565522614254,9.093078627137105,1234.06067082575,476.4588078254033,404.42677454965536,553.3234121677133,27.0,True,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,milky_acrylic_diffuser,1,3,28.0,28.0,,252.68407523127868,758.052225693836,9.096626708326031,1234.5421961299614,476.3298602798648,400.00000000000006,545.1228802711506,27.0,True,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,milky_acrylic_diffuser,3,1,28.0,28.0,,252.68407523127868,758.052225693836,9.096626708326031,1234.5421961299614,476.3298602798648,400.00000000000006,545.1228802711506,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,milky_acrylic_diffuser,3,3,28.0,28.0,,84.36384786157585,759.2746307541827,9.111295569050192,1236.532970085383,469.47121008045127,400.0,551.6203568675955,27.0,True,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,milky_acrylic_diffuser,3,4,28.0,28.0,,63.352331546464235,760.2279785575709,9.12273574269085,1238.0855650794724,477.58897228338145,400.0,568.7993099754664,27.0,True,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,milky_acrylic_diffuser,2,4,28.0,28.0,,95.51434263109361,764.1147410487489,9.169376892584987,1244.4154354222483,480.12337990053356,400.0,556.6895174393186,27.0,True,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,milky_acrylic_diffuser,1,2,28.0,28.0,,383.49844935921834,766.9968987184367,9.203962784621242,1249.1092350557399,482.0587775204474,400.0,557.2762490003034,27.0,True,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,milky_acrylic_diffuser,2,1,28.0,28.0,,383.49844935921834,766.9968987184367,9.203962784621242,1249.1092350557399,482.0587775204474,400.0,557.2762490003034,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,milky_acrylic_diffuser,1,3,28.0,28.0,,256.4754749769349,769.4264249308046,9.233117099169656,1253.0658920301676,475.71908608677705,400.0,543.258840309786,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,milky_acrylic_diffuser,3,1,28.0,28.0,,256.4754749769349,769.4264249308046,9.233117099169656,1253.0658920301676,475.71908608677705,400.0,543.258840309786,27.0,True,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,milky_acrylic_diffuser,2,3,28.0,28.0,,128.42521310812583,770.551278648755,9.24661534378506,1254.8977966565437,484.242788893112,400.00000000000006,564.0814153862302,27.0,True,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,milky_acrylic_diffuser,3,2,28.0,28.0,,128.42521310812583,770.551278648755,9.24661534378506,1254.8977966565437,484.242788893112,400.00000000000006,564.0814153862302,27.0,True,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,milky_acrylic_diffuser,1,1,28.0,28.0,,772.3571611169115,772.3571611169115,9.268285933402938,1257.8388052475416,485.09413787844744,400.0,572.5179181887132,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,milky_acrylic_diffuser,1,4,28.0,28.0,,193.20282522496038,772.8113008998415,9.273735610798097,1258.578404322599,478.18164545929244,407.4456505439651,556.2570495838011,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,milky_acrylic_diffuser,2,2,28.0,28.0,,193.20282522496038,772.8113008998415,9.273735610798097,1258.578404322599,478.18164545929244,407.4456505439651,556.2570495838011,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,milky_acrylic_diffuser,3,4,28.0,28.0,,64.45022604906441,773.4027125887729,9.280832551065275,1259.541560501716,478.0478026266561,399.99999999999994,575.0795045058026,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,milky_acrylic_diffuser,3,3,28.0,28.0,,86.25894336366834,776.330490273015,9.31596588327618,1264.3096555874818,471.20627361063237,400.0,551.8498446789414,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,milky_acrylic_diffuser,2,4,28.0,28.0,,97.12640177527115,777.0112142021692,9.32413457042603,1265.418263129247,480.3877164160978,400.0,558.1244027353016,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,milky_acrylic_diffuser,1,2,28.0,28.0,,391.20465812732675,782.4093162546535,9.388911795055844,1274.2094579004356,483.8661110826823,400.0,559.5580953797818,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,milky_acrylic_diffuser,2,1,28.0,28.0,,391.20465812732675,782.4093162546535,9.388911795055844,1274.2094579004356,483.8661110826823,400.0,559.5580953797818,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,milky_acrylic_diffuser,1,3,28.0,28.0,,261.42351948833624,784.2705584650087,9.411246701580104,1277.2406237858713,475.9964499695828,400.0,544.2825411843837,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,milky_acrylic_diffuser,3,1,28.0,28.0,,261.42351948833624,784.2705584650087,9.411246701580104,1277.2406237858713,475.9964499695828,400.0,544.2825411843837,27.0,True,scaled physical approximation
